index	id	title	file
1	setup	Entorno reproducible y trabajo seguro	s01-setup
2	basics	Valores, tipos, operadores e I/O	s02-basics
3	data-structures	Decisiones y reglas de validación	s03-data-structures
4	functions-modules	Iteración y resúmenes transaccionales	s04-functions-modules
5	oop	Funciones, contratos y descomposición	s05-oop
6	numpy	Colecciones y estructuras de datos	s06-numpy
7	data-acquisition	Texto, Unicode y expresiones regulares	s07-data-acquisition
8	pandas	Archivos, CSV, JSON y contratos de ingesta	s08-pandas
9	visualization	Excepciones, debugging y logging seguro	s09-visualization
10	sklearn	Módulos, packaging y CLI profesional	s10-sklearn
11	testing	OOP y modelo de dominio	s11-testing
12	performance	APIs, SQL y geodatos responsables	s12-performance
13	rpa-automation	Familiarity Evidence Dashboard y cierre de nivel	s13-rpa-automation
14	security	NumPy y cómputo vectorizado	s14-security
15	stdlib-deep	Pandas: ingesta, selección y tipos	s15-stdlib-deep
16	wxpython-gui	Calidad, limpieza y contratos de datos	s16-wxpython-gui
17	packaging	Joins, reshape, groupby y cierre analítico	s17-packaging
18	data-engineering	EDA, estadística descriptiva e incertidumbre	s18-data-engineering
19	databases-orm	Visualización y comunicación accesible	s19-databases-orm
20	rag	Automatización robusta de Excel	s20-rag
21	fastapi	Documentos, plantillas y reportes trazables	s21-fastapi
22	rapidfuzz-entity	Email, identidad y aprobación humana	s22-rapidfuzz-entity
23	computer-vision	Browser RPA con Playwright	s23-computer-vision
24	rpa-advanced	OCR y Document AI	s24-rpa-advanced
25	streamlit-dashboards	Endpoints de IA, Hugging Face y prompting evaluado	s25-streamlit-dashboards
26	integrator-phase1	Orquestación y VP RPA + AI Analyst	s26-integrator-phase1
27	async-concurrency	Estrategia de pruebas con pytest	s27-async-concurrency
28	llm-agents	Pruebas de datos, propiedades e integración	s28-llm-agents
29	mlops	SQL avanzado y modelado relacional	s29-mlops
30	security-infra	Entity resolution probabilístico	s30-security-infra
31	streaming-data	Grafos y evidencia relacional	s31-streaming-data
32	microservices	Feature engineering y pipelines sin leakage	s32-microservices
33	advanced-models	ML supervisado y baselines responsables	s33-advanced-models
34	cv-ai-integration	Métricas, desbalance, calibración y umbrales	s34-cv-ai-integration
35	system-design	Explicabilidad, equidad e incertidumbre	s35-system-design
36	ai-apis-advanced	Clustering, anomalías y validación temporal	s36-ai-apis-advanced
37	dbt-bigquery	Profiling, algoritmos y rendimiento	s37-dbt-bigquery
38	performance-extreme	Concurrencia, observabilidad y workflows resilientes	s38-performance-extreme
39	integrator-phase2	Responsible ML Case Triage y cierre de nivel	s39-integrator-phase2
40	agentic-architecture	Arquitectura, DDD y decisiones técnicas	s40-agentic-architecture
41	llm-finetuning	APIs con FastAPI y contratos HTTP	s41-llm-finetuning
42	graph-rag	Schemas, seguridad y privacidad de servicios	s42-graph-rag
43	llmops	Contenedores y reproducibilidad operativa	s43-llmops
44	multimodal	CI/CD y seguridad de la cadena de suministro	s44-multimodal
45	iac	Cloud, almacenamiento, colas e infraestructura	s45-iac
46	gpu-computing	Ingeniería de datos y orquestación de producción	s46-gpu-computing
47	opensource	MLOps: experimentos, registro y serving	s47-opensource
48	ai-governance	LLM applications y RAG con evidencia	s48-ai-governance
49	data-contracts	Agentes, herramientas y context engineering	s49-data-contracts
50	tech-leadership	Evals, red teaming y fiabilidad de IA	s50-tech-leadership
51	integrator-final	Observabilidad, gobernanza y UX del copiloto	s51-integrator-final
52	career-strategy	Enterprise Relationship & Operations Intelligence Platform: capstone final	s52-career-strategy
