section,finding_id,severity,category,title,location,evidence,impact,fix,attack,defense,verdict,justification,flagged_critical,source_count
S01,S01-F04,P1,TECHNICAL_CONTRADICTION,The learner receives incompatible runtime contracts for the same gate.,learning outcomes + interpreter paragraphs + stack verification + Ruff config,"Outcome requires Python 3.12+, multiple paragraphs say 3.10+ is acceptable, while Ruff target-version is py312.","A learner on 3.10 cannot determine whether to continue, upgrade, or alter Ruff; subsequent reproducibility evidence no longer has one target runtime.",Choose one supported floor and state it everywhere. Current roadmap and config point to 3.12+.,,,,,False,1
S01,S01-F06,P1,FUTURE_KNOWLEDGE_LEAK,"The example uses future syntax to teach a concept that can be demonstrated with one print statement, and the callout falsely makes def + __name__ guard sound necessary for scripts.",theory[2].paragraphs[3-4] + hello_sys.py + REPL/script callout,"The first script introduces import, def, indentation, variables, method calls, indexing, f-strings and if __name__ before those concepts are taught; the callout says a .py uses def + if __name__.",The learner memorizes a template without being able to explain or predict its parts and can incorrectly believe every script requires main() and an __name__ guard.,Replace the first script with a single print statement; defer main/import/f-string/__name__ until their real teaching sections.,,,,,False,1
S01,S01-F08,P1,EXAMPLE_CONTRADICTS_EXECUTION_INSTRUCTIONS,A transcript and an executable command block are represented as the same thing.,theory block 'El intérprete en la terminal' code,"The prose calls the block 'copy-paste real'; it starts an interactive python3 REPL but the following REPL commands are shell-style commented transcript lines, so pasting the full block cannot execute the demonstrated interaction and exit as claimed.","The learner pastes the block, enters the REPL, comments out the supposed expressions/quit command, and gets stuck or sends later shell commands to Python.",Label it as a transcript or split shell commands and REPL keystrokes into separate clearly typed blocks.,,,,,False,1
S01,S01-F10,P1,FUTURE_KNOWLEDGE_LEAK,The learner must understand several later Python constructs to understand the example used for a much simpler process contract.,"theory block 'Terminal, rutas y códigos de salida' argv paragraph + check_arg.py","S01 teaches sys.argv as a list, indexing, len, slicing, stderr, a function, conditional and type annotation to demonstrate exit codes.","The learner can only copy check_arg.py and cannot explain why len==2, what [1:] means, or why the branch exits 1.",Remove argv/slicing from S01 theory and demonstrate exit 0/1 with prepared one-liners; teach CLI arguments in the later CLI section.,,,,,False,1
S01,S01-F11,P1,TECHNICAL_CONTRADICTION,The error-suppression example undermines the core mental model rather than extending it safely.,'Leer una línea de terminal' final paragraph,"The lesson emphasizes exit status as evidence, then introduces 2>/dev/null || true as a starter pattern without saying that || true can turn a failure into overall success and erase the signal just taught.",The learner can adopt 'append || true when a command is noisy/fails' and cause a script or CI step to report success after a real failure.,"Remove this pattern from core S01. If retained in optional troubleshooting, explicitly explain that it masks failure and is valid only when failure is intentionally non-fatal.",,,,,False,1
S01,S01-F17,P1,PRIVACY_RISK,A privacy-sensitive first-day workflow asks the learner to persist a real email globally without informed choice.,Git identity paragraph + git config code,"The lesson instructs git config --global user.email 'tu@correo.com' immediately before publishing to GitHub, but gives no warning that commit email metadata can expose a personal address or that GitHub provides a noreply address.","A learner follows the command literally, pushes a public repository and exposes a personal email in commit metadata.","Before the command, explain commit-email visibility and offer the GitHub noreply address; advise --local when personal/work identities differ.",,,,,False,1
S01,S01-F01,P2,PROMISE_CONTRADICTION,The time promise cannot be satisfied at the upper end and the phrase 'resto' has no coherent remainder in a 10 h section.,tagline + optional contract timing,"Tagline allocates 3–4 h to core plus 6–8 h to GitHub/Ruff plus remaining time for CP-N1-A, while theory states about 10 h total.","The learner cannot tell what is core, optional, or expected within the advertised section duration and may interpret unfinished material as personal failure.","Make the tagline express a 10 h allocation whose parts sum to the total, and define CP-N1-A when first named.",,,,,False,1
S01,S01-F02,P2,TECHNICAL_OVERCLAIM,"NASA identifies a failed use/translation of required metric units plus verification, communication and systems-engineering contributing causes; the prose over-absolves the failure mechanism.",theory[0].paragraphs[0],The Mars Climate Orbiter paragraph says nobody made a calculation error and reduces the mishap to two teams assuming different units.,The learner forms an oversimplified causal model in the very example used to justify explicit contracts and verification.,Keep the incident but state the metric/English-unit interface failure and that project controls did not detect it.,,,,,False,1
S01,S01-F03,P2,WIDOW_TERM,Internal curriculum identifiers are used as though they carry meaning for a first-day learner.,tagline + theory[0].paragraphs[4] + optional contract,CP-N1-A and CASO-LIM-001 appear before a learner-facing explanation of what those labels represent.,"The learner must infer whether CP-N1-A/CASO-LIM-001 are tools, files, assignments or projects and may search outside the lesson.",At first occurrence add a microdefinition such as 'el caso de práctica de esta sección' and 'el proyecto acumulativo de Nivel 1'.,,,,,False,1
S01,S01-F05,P2,EXAMPLE_CONTRADICTS_PROSE,Remote execution is not a defining property of a script.,figure S01-repl-vs-script,"Caption defines a script as a file that runs whole 'en una máquina que no es la tuya', while the prose tells the learner to run python hello.py locally.",The learner may classify local .py execution as something other than a script or associate scripts primarily with servers/pipelines.,Define the contrast as interactive one-expression-at-a-time execution versus saved-file execution; remove the remote-machine property.,,,,,False,1
